Runde	Anzahl aller Gesunden	Anzahl aller Kranken	Anzahl aller Toten
0	1000000	10	0
1	999999	10	1
2	1000000	4	6
3	999998	5	7
4	999994	9	7
5	999989	13	8
6	999989	13	8
7	999990	10	10
8	999986	13	11
9	999980	16	14
10	999976	19	15
11	999973	17	20
12	999967	21	22
13	999965	21	24
14	999960	24	26
15	999952	30	28
16	999942	34	34
17	999932	38	40
18	999921	45	44
19	999918	42	50
20	999893	64	53
21	999872	74	64
22	999856	81	73
23	999835	93	82
24	999803	109	98
25	999769	114	127
26	999735	123	152
27	999702	145	163
28	999665	159	186
29	999612	187	211
30	999572	201	237
31	999519	216	275
32	999455	239	316
33	999357	295	358
34	999268	332	410
35	999179	365	466
36	999067	419	524
37	998913	498	599
38	998728	591	691
39	998573	640	797
40	998400	708	902
41	998191	803	1016
42	997964	900	1146
43	997714	983	1313
44	997442	1082	1486
45	997117	1242	1651
46	996761	1365	1884
47	996393	1502	2115
48	995976	1707	2327
49	995469	1942	2599
50	994899	2183	2928
51	994214	2502	3294
52	993501	2832	3677
53	992680	3199	4131
54	991753	3595	4662
55	990738	4031	5241
56	989548	4560	5902
57	988246	5103	6661
58	986720	5809	7481
59	985017	6567	8426
60	983168	7277	9565
61	981035	8118	10857
62	978740	9060	12210
63	976200	10077	13733
64	973295	11275	15440
65	970080	12574	17356
66	966565	14007	19438
67	962730	15484	21796
68	958385	17330	24295
69	953525	19352	27133
70	948092	21578	30340
71	942013	24144	33853
72	935221	26918	37871
73	927732	29997	42281
74	919364	33361	47285
75	910269	36896	52845
76	900375	40695	58940
77	889183	45209	65618
78	877051	49876	73083
79	863744	54900	81366
80	849114	60438	90458
81	833302	66066	100642
82	816272	71948	111790
83	797669	78517	123824
84	778096	84920	136994
85	757003	91858	151149
86	734804	98753	166453
87	711275	105651	183084
88	686891	112555	200564
89	661278	119506	219226
90	634974	125923	239113
91	608051	132006	259953
92	580278	137814	281918
93	551715	143153	305142
94	523941	147089	328980
95	495688	150805	353517
96	468150	153391	378469
97	440418	155720	403872
98	413815	156232	429963
99	387680	156288	456042
100	362816	155269	481925
101	338861	153482	507667
102	315834	150998	533178
103	294323	147264	558423
104	274094	142868	583048
105	254451	138720	606839
106	236850	133390	629770
107	220089	127884	652037
108	204048	122659	673303
109	189412	116675	693923
110	175403	111201	713406
111	162802	105517	731691
112	151384	99368	749258
113	140298	93991	765721
114	129775	88631	781604
115	120401	83239	796370
116	111445	78312	810253
117	103729	72940	823341
118	96489	68086	835435
119	89260	64148	846602
120	83014	59644	857352
121	76825	55788	867397
122	71280	52079	876651
123	66236	48347	885427
124	61428	45120	893462
125	57150	42013	900847
126	53185	38985	907840
127	49325	36193	914492
128	45650	33929	920431
129	42315	31507	926188
130	39425	29190	931395
131	36488	27169	936353
132	33896	25211	940903
133	31420	23452	945138
134	29147	21797	949066
135	27201	20113	952696
136	25281	18652	956077
137	23570	17343	959097
138	21890	16105	962015
139	20456	14967	964587
140	19078	13855	967077
141	17643	12915	969452
142	16572	11915	971523
143	15479	10975	973556
144	14294	10375	975341
145	13280	9651	977079
146	12285	8967	978758
147	11479	8286	980245
148	10611	7783	981616
149	9801	7304	982905
150	9101	6794	984115
151	8438	6308	985264
152	7875	5805	986330
153	7264	5454	987292
154	6799	4974	988237
155	6284	4687	989039
156	5831	4351	989828
157	5398	4086	990526
158	5076	3702	991232
159	4669	3468	991873
160	4322	3265	992423
161	3996	3081	992933
162	3703	2899	993408
163	3481	2621	993908
164	3249	2434	994327
165	2997	2271	994742
166	2816	2082	995112
167	2608	1933	995469
168	2357	1843	995810
169	2161	1740	996109
170	2039	1568	996403
171	1874	1456	996680
172	1707	1341	996962
173	1566	1268	997176
174	1460	1154	997396
175	1359	1065	997586
176	1241	1017	997752
177	1158	926	997926
178	1094	822	998094
179	1009	774	998227
180	928	725	998357
181	913	624	998473
182	844	586	998580
183	757	581	998672
184	697	557	998756
185	641	513	998856
186	584	470	998956
187	515	475	999020
188	494	427	999089
189	474	387	999149
190	442	362	999206
191	404	328	999278
192	363	308	999339
193	335	291	999384
194	305	273	999432
195	283	237	999490
196	272	225	999513
197	257	204	999549
198	230	197	999583
199	210	187	999613
200	196	171	999643
201	193	147	999670
202	183	129	999698
203	174	121	999715
204	166	111	999733
205	144	112	999754
206	142	100	999768
207	124	102	999784
208	106	102	999802
209	95	94	999821
210	95	82	999833
211	80	85	999845
212	73	84	999853
213	67	78	999865
214	62	76	999872
215	67	63	999880
216	71	52	999887
217	58	57	999895
218	58	49	999903
219	39	60	999911
220	42	45	999923
221	43	31	999936
222	40	27	999943
223	37	26	999947
224	33	25	999952
225	31	20	999959
226	32	15	999963
227	28	17	999965
228	26	17	999967
229	26	13	999971
230	25	12	999973
231	22	14	999974
232	22	12	999976
233	23	9	999978
234	23	7	999980
235	24	4	999982
236	22	4	999984
237	20	6	999984
238	22	3	999985
239	21	3	999986
240	22	1	999987
241	21	2	999987
242	20	3	999987
243	18	4	999988
244	16	5	999989
245	13	5	999992
246	11	6	999993
247	8	7	999995
248	11	2	999997
249	10	3	999997
250	9	4	999997
251	7	6	999997
252	9	4	999997
253	5	8	999997
254	3	9	999998
255	4	7	999999
256	3	4	1000003
257	2	4	1000004
258	0	6	1000004
259	0	6	1000004
260	0	4	1000006
261	0	4	1000006
262	0	3	1000007
263	0	2	1000008
264	0	0	1000010
265	0	0	1000010
266	0	0	1000010
267	0	0	1000010
268	0	0	1000010
269	0	0	1000010
270	0	0	1000010
271	0	0	1000010
272	0	0	1000010
273	0	0	1000010
274	0	0	1000010
275	0	0	1000010
276	0	0	1000010
277	0	0	1000010
278	0	0	1000010
279	0	0	1000010
280	0	0	1000010
281	0	0	1000010
282	0	0	1000010
283	0	0	1000010
284	0	0	1000010
285	0	0	1000010
286	0	0	1000010
287	0	0	1000010
288	0	0	1000010
289	0	0	1000010
290	0	0	1000010
291	0	0	1000010
292	0	0	1000010
293	0	0	1000010
294	0	0	1000010
295	0	0	1000010
296	0	0	1000010
297	0	0	1000010
298	0	0	1000010
299	0	0	1000010
300	0	0	1000010
